original,translate
#General Enchantments,#General Enchantments
Agility,Agility
Adds +1 to Agility,Adds +1 to Agility
Athletics,Athletics
Adds +1 to Athletics,Adds +1 to Athletics
Awareness,Awareness
Adds +1 to Awareness,Adds +1 to Awareness
Crafting,Crafting
Adds +1 to Crafting,Adds +1 to Crafting
Defence,Defence
Adds +1 to Dodge,Adds +1 to Dodge
Diplomacy,Diplomacy
Adds +1 to Diplomacy,Adds +1 to Diplomacy
Fortitude,Fortitude
Adds +1 to Fortitude,Adds +1 to Fortitude
Healing,Healing
Adds +1 to Healing,Adds +1 to Healing
Heroic,Heroic
Adds +1 to all five Primary Attributes,Adds +1 to all five Primary Attributes
Initiative,Initiative
Adds +2 to Initiative,Adds +2 to Initiative
Intellect,Intellect
Adds +1 to Intellect,Adds +1 to Intellect
Lore,Lore
Adds +1 to Lore,Adds +1 to Lore
Presence,Presence
Adds +1 to Presence,Adds +1 to Presence
Protection,Protection
"adds +1 to Will, Toughness and Dodge","adds +1 to Will, Toughness, and Dodge"
Speed,Speed
Adds +1 to Movement Speed,Adds +1 to Movement Speed
Stealth,Stealth
Adds +1 to Stealth,Adds +1 to Stealth
Strength,Strength
Adds +1 to Strength,Adds +1 to Strength
Survival,Survival
Adds +1 to Survival,Adds +1 to Survival
Thievery,Thievery
Adds +1 to Thievery,Adds +1 to Thievery
Toughness,Toughness
Adds +1 to Toughness,Adds +1 to Toughness
Willpower,Willpower
Adds +1 to Willpower,Adds +1 to Willpower
#Weapon Enchantments,#Weapon Enchantments
Accuracy,Accuracy
This Weapon has +2 To Hit,This Weapon has +2 To Hit
Accuracy and Damage,Accuracy and Damage
This Weapon does +1 base damage and has +2 To Hit,This Weapon does +1 base damage and has +2 To Hit
Greater Accuracy and Damage,Greater Accuracy and Damage
This Weapon does +3 base damage and has +3 To Hit,This Weapon does +3 base damage and has +3 To Hit
Accuracy - Greater,Accuracy - Greater
This Weapon has +3 To Hit,This Weapon has +3 To Hit
Acid Attack,Acid Attack
A small amount of extra acid-damage is caused on a hit,A small amount of extra acid-damage is caused on a hit
Frost Attack,Frost Attack
A small amount of extra cold-damage is caused on a hit,A small amount of extra cold-damage is caused on a hit
Keen,Keen
This Weapon does +1 base damage,This Weapon does +1 base damage
Keen - Greater,Keen - Greater
This Weapon does +3 base damage,This Weapon does +3 base damage
Lightning Attack,Lightning Attack
A small amount of extra lightning-damage is caused on a hit,A small amount of extra lightning-damage is caused on a hit
Fire Attack,Fire Attack
A small amount of extra fire-damage is caused on a hit,A small amount of extra fire-damage is caused on a hit
Increases the Dodge of the wielder by +1,Increases the Dodge of the wielder by +2
